"Time (s) Run #1","Absolute Pressure 1 (kPa) Run #1","Absolute Pressure 2 (kPa) Run #1","Differential Pressure₁₋₂ (kPa) Run #1"
915.000,102.79,99.42,3.37549
920.000,102.81,99.42,3.39129
925.000,102.82,99.42,3.40270
930.000,102.83,99.42,3.41331
935.000,102.85,99.42,3.42453
940.000,102.86,99.42,3.43659
945.000,102.87,99.42,3.44796
950.000,102.88,99.42,3.45901
955.000,102.89,99.42,3.46880
960.000,102.90,99.42,3.47964
965.000,102.91,99.42,3.48277
970.000,102.92,99.42,3.49897
975.000,102.94,99.42,3.51273
980.000,102.95,99.42,3.52611
985.000,102.96,99.42,3.54027
990.000,102.97,99.42,3.55059
995.000,102.99,99.42,3.56483
1000.000,103.00,99.43,3.57469
1005.000,103.01,99.42,3.58323
1010.000,103.02,99.42,3.59774
1015.000,103.03,99.42,3.60873
1020.000,103.05,99.43,3.62146
1025.000,103.05,99.42,3.63433
1030.000,103.07,99.42,3.64452
1035.000,103.07,99.42,3.65474
1040.000,103.09,99.42,3.66676
1045.000,103.10,99.42,3.67685
1050.000,103.11,99.42,3.69102
1055.000,103.12,99.42,3.69980
1060.000,103.13,99.42,3.71023
1065.000,103.15,99.43,3.72597
1070.000,103.16,99.42,3.73699
1075.000,103.17,99.42,3.75133
1080.000,103.18,99.42,3.76360
1085.000,103.19,99.42,3.77322
1090.000,103.20,99.42,3.78272
1095.000,103.22,99.43,3.79102
1100.000,103.23,99.42,3.80340
1105.000,103.24,99.43,3.81675
1110.000,103.25,99.42,3.82652
1115.000,103.26,99.42,3.83791
1120.000,103.27,99.42,3.85225
1125.000,103.28,99.42,3.85703
1130.000,103.29,99.42,3.86871
1135.000,103.30,99.42,3.88342
1140.000,103.32,99.42,3.89480
1145.000,103.33,99.42,3.90556
1150.000,103.34,99.42,3.91607
1155.000,103.35,99.43,3.92617
1160.000,103.36,99.42,3.94086
1165.000,103.37,99.42,3.94930
1170.000,103.38,99.42,3.95882
1175.000,103.40,99.42,3.97434
